گیر افتادن در ترافیک | Stuck in traffic
-- Pronunciation: /stʌk ɪn ˈtræfɪk/
-- Tone: Neutral
-- Example: 1. Sorry I'm late; I got stuck in traffic.

آنتن ندادن (موبایل) | No reception / No signal
-- Pronunciation: /noʊ rɪˈsɛpʃən/
-- Tone: Neutral
-- Example: 1. I couldn't call you because I had no reception in the basement.

شارژ تمام کردن | Run out of battery
-- Pronunciation: /rʌn aʊt əv ˈbætəri/
-- Tone: Neutral
-- Example: 1. My phone ran out of battery halfway through the day.

هنگ کردن (کامپیوتر/موبایل) | Freezing / Crashing
-- Pronunciation: /ˈfriːzɪŋ/
-- Tone: Neutral
-- Example: 1. My laptop keeps freezing when I open too many tabs.

صدایت قطع و وصل می‌شود | Breaking up
-- Pronunciation: /ˈbreɪkɪŋ ʌp/
-- Tone: Neutral
-- Example: 1. You're breaking up; can you say that again?

روی خط نگه داشتن | Put on hold
-- Pronunciation: /pʊt ɑn hoʊld/
-- Tone: Neutral
-- Example: 1. The customer service rep put me on hold for 20 minutes.

حساب و کتاب کردن (دوستانه) | Split the bill
-- Pronunciation: /splɪt ðə bɪl/
-- Tone: Neutral
-- Example: 1. Let's split the bill evenly.

مهمان من (حساب کردن) | On me
-- Pronunciation: /ɑn mi/
-- Tone: Casual
-- Example: 1. Put your wallet away; lunch is on me.

تعارف کردن (غذا/پول) | Insist
-- Pronunciation: /ɪnˈsɪst/
-- Tone: Neutral
-- Example: 1. He insisted on paying for dinner.

جا زدن (در برنامه) | Flake / Bail
-- Pronunciation: /fleɪk/
-- Tone: Slang
-- Example: 1. He always flakes on us at the last minute. 2. Are you going to bail on the party?

پیچوندن (کسی) | Blow off
-- Pronunciation: /bloʊ ɔf/
-- Tone: Slang
-- Example: 1. She blew me off and didn't reply to my texts.

ترافیک روان | Traffic is moving
-- Pronunciation: /ˈtræfɪk ɪz ˈmuːvɪŋ/
-- Tone: Neutral
-- Example: 1. Surprisingly, traffic is moving smoothly today.

ساعت اوج شلوغی | Rush hour
-- Pronunciation: /rʌʃ aʊər/
-- Tone: Neutral
-- Example: 1. Avoid driving during rush hour if you can.

راهبندان | Gridlock
-- Pronunciation: /ˈɡrɪdlɑk/
-- Tone: Neutral
-- Example: 1. The accident caused total gridlock downtown.

پارک دوبل | Parallel park
-- Pronunciation: /ˈpærəlɛl pɑrk/
-- Tone: Neutral
-- Example: 1. I'm terrible at parallel parking.

دنده عقب رفتن | Back up / Reverse
-- Pronunciation: /bæk ʌp/
-- Tone: Neutral
-- Example: 1. Be careful when you back up out of the driveway.

چرت زدن | Take a nap / Doze off
-- Pronunciation: /doʊz ɔf/
-- Tone: Neutral
-- Example: 1. I dozed off during the meeting.

سحرخیز | Early bird
-- Pronunciation: /ˈɜrli bɜrd/
-- Tone: Idiom
-- Example: 1. I'm an early bird; I wake up at 5 AM.

شب زنده دار | Night owl
-- Pronunciation: /naɪt aʊl/
-- Tone: Idiom
-- Example: 1. My brother is a night owl; he sleeps at 3 AM.

بیخوابی | Insomnia
-- Pronunciation: /ɪnˈsɑmniə/
-- Tone: Medical
-- Example: 1. I suffer from insomnia when I'm stressed.

خواب ماندن (ناخواسته) | Oversleep
-- Pronunciation: /ˌoʊvərˈsliːp/
-- Tone: Neutral
-- Example: 1. I overslept and missed the bus.

سرویس بهداشتی (عمومی) | Restroom
-- Pronunciation: /ˈrɛstrum/
-- Tone: Polite (US)
-- Example: 1. Could you tell me where the restroom is?

اشتها کور شدن | Lose appetite
-- Pronunciation: /luːz ˈæpəˌtaɪt/
-- Tone: Neutral
-- Example: 1. The bad news made me lose my appetite.

رژیم گرفتن | Go on a diet
-- Pronunciation: /daɪət/
-- Tone: Neutral
-- Example: 1. I need to go on a diet to lose weight.

پرخوری کردن | Overeat / Binge
-- Pronunciation: /oʊvərˈiːt/
-- Tone: Neutral
-- Example: 1. I always overeat at buffets.

تاریخ انقضا گذشتن | Expire / Go bad
-- Pronunciation: /ɪkˈspaɪər/
-- Tone: Neutral
-- Example: 1. The milk has gone bad; throw it away.

کپک زده | Moldy
-- Pronunciation: /ˈmoʊldi/
-- Tone: Neutral
-- Example: 1. The bread is moldy.

تهوع داشتن | Nauseous
-- Pronunciation: /ˈnɔʃəs/
-- Tone: Neutral
-- Example: 1. I feel nauseous when I read in the car.

سرگیجه | Dizzy
-- Pronunciation: /ˈdɪzi/
-- Tone: Neutral
-- Example: 1. I stood up too fast and felt dizzy.

خفیف (درد/بیماری) | Mild
-- Pronunciation: /maɪld/
-- Tone: Neutral
-- Example: 1. I have mild symptoms of the flu.

شدید (درد) | Severe / Acute
-- Pronunciation: /səˈvɪr/
-- Tone: Medical
-- Example: 1. He has severe back pain.

مسری | Contagious
-- Pronunciation: /kənˈteɪdʒəs/
-- Tone: Medical
-- Example: 1. Is it contagious? Should I wear a mask?

وقت دکتر گرفتن | Make an appointment
-- Pronunciation: /əˈpɔɪntmənt/
-- Tone: Neutral
-- Example: 1. I need to make an appointment with the dentist.

نسخه (دارو) | Prescription
-- Pronunciation: /prɪˈskrɪpʃən/
-- Tone: Neutral
-- Example: 1. The doctor wrote me a prescription for antibiotics.

عوارض جانبی | Side effects
-- Pronunciation: /saɪd ɪˈfɛkts/
-- Tone: Neutral
-- Example: 1. Drowsiness is a common side effect of this medication.
