از آنجایی که ... | Inasmuch as ...
-- Pronunciation: /ɪnəzˈmʌtʃ æz/
-- Tone: Formal
-- Example: 1. Inasmuch as you are their leader, you are responsible.

به موجب این ... | Hereby
-- Pronunciation: /hɪrˈbaɪ/
-- Tone: Legal/Formal
-- Example: 1. I hereby resign from my position.

از این به بعد | Henceforth
-- Pronunciation: /hɛnsˈfɔrθ/
-- Tone: Formal
-- Example: 1. Henceforth, all meetings will be recorded.

با وجود این | Notwithstanding
-- Pronunciation: /ˌnɑtwɪθˈstændɪŋ/
-- Tone: Formal
-- Example: 1. Notwithstanding the criticism, the project proceeded.

به ضررِ ... | At the expense of ...
-- Pronunciation: /æt ðə ɪkˈspɛns əv/
-- Tone: Neutral
-- Example: 1. He focused on his career at the expense of his family life.

در نهایتِ ... | In the event of ...
-- Pronunciation: /ɪn ðə ɪˈvɛnt əv/
-- Tone: Formal
-- Example: 1. In the event of fire, use the stairs.

به شرط آنکه ... | Provided that ...
-- Pronunciation: /prəˈvaɪdɪd ðæt/
-- Tone: Formal
-- Example: 1. You can go out provided that you finish your homework.

لزوماً | Necessarily
-- Pronunciation: /ˌnɛsəˈsɛrəli/
-- Tone: Neutral
-- Example: 1. That is not necessarily true.

متعاقباً | Subsequently
-- Pronunciation: /ˈsʌbsɪkwəntli/
-- Tone: Formal
-- Example: 1. The book was subsequently translated into 15 languages.

همزمان | Simultaneously
-- Pronunciation: /ˌsaɪməlˈteɪniəsli/
-- Tone: Neutral
-- Example: 1. The two events happened simultaneously.

در تضاد با ... | In stark contrast to ...
-- Pronunciation: /ɪn stɑrk ˈkɑntræst tu/
-- Tone: Formal
-- Example: 1. His wealth stands in stark contrast to the poverty around him.

تا حدی که ... | To the extent that ...
-- Pronunciation: /tu ðə ɪkˈstɛnt ðæt/
-- Tone: Formal
-- Example: 1. He was helpful to the extent that he could be.

صرف نظر از ... | Regardless of ...
-- Pronunciation: /rɪˈɡɑrdləs əv/
-- Tone: Neutral
-- Example: 1. Regardless of the cost, we need to fix it.

با توجه به ... | In light of ...
-- Pronunciation: /ɪn laɪt əv/
-- Tone: Formal
-- Example: 1. In light of the new evidence, we are reopening the case.

به جای ... | In lieu of ...
-- Pronunciation: /ɪn luː əv/
-- Tone: Formal
-- Example: 1. They gave a donation in lieu of flowers.

روی لبه تیغ | On the razor's edge
-- Pronunciation: /ɑn ðə ˈreɪzərz ɛdʒ/
-- Tone: Idiom
-- Example: 1. The company is teetering on the razor's edge of bankruptcy.

بین دو راهی | At a crossroads
-- Pronunciation: /æt ə ˈkrɔsˌroʊdz/
-- Tone: Idiom
-- Example: 1. I am at a crossroads in my career.

گیر کردن در برزخ (بلاتکلیفی) | In limbo
-- Pronunciation: /ɪn ˈlɪmboʊ/
-- Tone: Idiom
-- Example: 1. The project has been in limbo for months.

تیر در تاریکی (حدس) | Shot in the dark
-- Pronunciation: /ʃɑt ɪn ðə dɑrk/
-- Tone: Idiom
