حالم جا اومد | That hit the spot
-- Tone: Spoken
-- Example: 1. (Drinking cold water on a hot day) Ah, that hit the spot.

گرسنه ام (خیلی) | I'm starving
-- Tone: Spoken
-- Example: 1. When is dinner ready? I'm starving.

ترکیدم (از پرخوری) | I'm stuffed
-- Tone: Spoken
-- Example: 1. I can't eat another bite. I'm stuffed.

هوس (...) کردم | I'm craving ...
-- Tone: Spoken
-- Example: 1. I'm really craving pizza right now.

عاشقشم (دیوونشم) | I'm crazy about it
-- Tone: Spoken
-- Example: 1. Have you tried sushi? I'm crazy about it.

حالم ازش بهم میخوره | It makes me sick
-- Tone: Spoken
-- Example: 1. The way he treats people makes me sick.

حوصله شو ندارم | I'm not in the mood
-- Tone: Spoken
-- Example: 1. Do you want to go dancing? "Nah, I'm not in the mood."

اعصابم خورده | I'm pissed off
-- Tone: Spoken / Vulgar
-- Example: 1. Keep away from him; he's pissed off about losing the game.

قاطی کردم (عصبی شدم) | I lost it
-- Tone: Spoken
-- Example: 1. When he insulted my mom, I just lost it.

داغونم (خسته/نابود) | I'm wrecked / I'm beat
-- Tone: Spoken
-- Example: 1. Double shift today. I'm absolutely wrecked. 2. I'm beat; I'm going to bed.

کلافه شدم | I'm fed up
-- Tone: Spoken
-- Example: 1. I'm fed up with this traffic every single day.

به سیم آخر زدم | I'm at the end of my rope
-- Tone: Spoken
-- Example: 1. The baby hasn't stopped crying for hours. I'm at the end of my rope.

کم آوردم (تحملم تموم شد) | I can't take it anymore
-- Tone: Spoken
-- Example: 1. Stop screaming! I can't take it anymore!

تسلیم شدم | I give up
-- Tone: Spoken
-- Example: 1. Okay, you win. I give up.

بی‌خیالش شدم | I'm over it
-- Tone: Spoken
-- Example: 1. I used to be sad about the breakup, but now I'm over it.

دلم براش تنگ شده | I miss him/her terribly
-- Tone: Spoken
-- Example: 1. It's been a month since she left. I miss her terribly.

دلم گرفت (غمگین شدم) | It bummed me out
-- Tone: Spoken
-- Example: 1. Hearing about his accident really bummed me out.

اشکم در اومد | It moved me to tears
-- Tone: Spoken
-- Example: 1. That movie was so beautiful, it moved me to tears.

مو به تنم سیخ شد | It gave me goosebumps
-- Tone: Spoken
-- Example: 1. Her singing was so good it gave me goosebumps.

زهره ترک شدم | It scared the hell out of me
-- Tone: Spoken
