مخالفم | I disagree
-- Tone: Spoken
-- Example: 1. I respect your opinion, but I disagree.

اشتباه میکنی | You're wrong
-- Tone: Spoken
-- Example: 1. If you think I'll help you, you're wrong.

حق با تو نیست | You're not right
-- Tone: Spoken
-- Example: 1. You're not right about him; he's a good person.

دیوونه شدی؟ | Are you crazy?
-- Tone: Spoken
-- Example: 1. Driving that fast? Are you crazy?

خفه شو | Shut your mouth
-- Tone: Spoken
-- Example: 1. Don't talk about my family! Shut your mouth!

بشین سر جات | Sit down and shut up
-- Tone: Spoken
-- Example: 1. I'm in charge here. Sit down and shut up.

ازم دور شو | Get away from me
-- Tone: Spoken
-- Example: 1. You smell like alcohol. Get away from me.

به من دست نزن | Keep your hands off me
-- Tone: Spoken
-- Example: 1. I warned you. Keep your hands off me.

تهدیدم میکنی؟ | Are you threatening me?
-- Tone: Spoken
-- Example: 1. "You'll regret this." "Are you threatening me?"

جرات داری؟ | You dare? / Don't you dare!
-- Tone: Spoken
-- Example: 1. Don't you dare touch that dial!

بهت هشدار میدم | I'm warning you
-- Tone: Spoken
-- Example: 1. Stay back! I'm warning you.

پاش برسه (مجبور شم) | If it comes to that
-- Tone: Spoken
-- Example: 1. I'll fight him if it comes to that.

از رو نعشم رد بشی | Over my dead body
-- Tone: Spoken
-- Example: 1. You want to date my daughter? Over my dead body!

کور خوندی | Dream on
-- Tone: Spoken
-- Example: 1. You think you'll beat me? Dream on.

تو خواب ببینی | In your dreams
-- Tone: Spoken
-- Example: 1. Date a supermodel? In your dreams.

زهی خیال باطل (آرزوشو ببر به گور) | Fat chance
-- Tone: Spoken
-- Example: 1. "Will he lend you money?" "Fat chance."

عمراً (راه نداره) | No chance / Not a chance
-- Tone: Spoken
-- Example: 1. "Can I drive your Ferrari?" "Not a chance."

نمیذارم این اتفاق بیفته | I won't let that happen
-- Tone: Spoken
-- Example: 1. They want to fire you? I won't let that happen.

جلوی منو بگیر (اگه میتونی) | Stop me
-- Tone: Spoken
-- Example: 1. I'm going to tell the truth. Try and stop me.

مجبورت میکنم | I'll make you
-- Tone: Spoken
-- Example: 1. "I won't talk." "I'll make you."

پشیمون میشی | You'll regret this
-- Tone: Spoken
-- Example: 1. If you walk out that door, you'll regret this.

تاوانشو میدی | You'll pay for this
-- Tone: Spoken
-- Example: 1. You ruined my car! You'll pay for this!

حالا میبینی | Just you wait
-- Tone: Spoken
-- Example: 1. I'll be famous one day. Just you wait.

بهت نشون میدم | I'll show you
-- Tone: Spoken
-- Example: 1. Think I'm weak? I'll show you.

حسابت رو میرسم | I'll get you for this
-- Tone: Spoken
-- Example: 1. You pranked me? I'll get you for this.

تمومش کن | Knock it off
-- Tone: Spoken
-- Example: 1. Stop throwing food! Knock it off!

بسه دیگه | Enough is enough
-- Tone: Spoken
-- Example: 1. You've been late every day. Enough is enough.

دیگه بسمه (تحمل ندارم) | I've had enough
-- Tone: Spoken
-- Example: 1. I've had enough of your excuses.

حالم ازت بهم میخوره | You make me sick
-- Tone: Spoken
-- Example: 1. You stole from your own mother? You make me sick.

از جلو چشمم گم شو | Get out of my sight
-- Tone: Spoken
-- Example: 1. I never want to see you again. Get out of my sight.

بمیری ایشالا | Drop dead
-- Tone: Spoken
-- Example: 1. "Will you marry me?" "Drop dead."

برو به جهنم | Go to hell
-- Tone: Spoken
-- Example: 1. You think you can buy me? Go to hell.

لعنت بهت | Damn you
-- Tone: Spoken
-- Example: 1. Damn you for ruining everything!

دهنتو سرویس میکنم | I'll kick your ass
-- Tone: Spoken
-- Example: 1. Touch my bike again and I'll kick your ass.

میزنم تو صورتت | I'll punch your lights out
-- Tone: Spoken
-- Example: 1. Keep talking and I'll punch your lights out.

میخوای دعوا کنی؟ | You want a piece of me?
-- Tone: Spoken
-- Example: 1. You looking at me? You want a piece of me?

بیا جلو (دعوا) | Bring it on
-- Tone: Spoken
-- Example: 1. You think you can beat me? Bring it on!

بزن قدش (دعوا تموم) | Shake on it
-- Tone: Spoken
-- Example: 1. Deal? Deal. Shake on it.

قبول (معامله) | It's a deal
-- Tone: Spoken
-- Example: 1. I wash, you dry. It's a deal.

قولت قوله؟ (دیگه زیرش نزن) | Is that a promise?
-- Tone: Spoken
-- Example: 1. You'll quit smoking? Is that a promise?

زیر قولت نزن | Don't go back on your word
-- Tone: Spoken
-- Example: 1. You said you'd help. Don't go back on your word.

میزنم زیرش (قول) | I take it back
-- Tone: Spoken
-- Example: 1. I said you were ugly. I take it back. I was angry.

حرفت رو پس بگیر | Take that back
-- Tone: Spoken
-- Example: 1. Don't call me a liar! Take that back!

من همچین حرفی نزدم | I didn't say that
-- Tone: Spoken
